GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TP3v2,OMD.ANNICGRANDJEAN.TP3v2,App,7,0,0,0,3,0,2,0,2,0
TP3v2,OMD.ANNICGRANDJEAN.TP3v2,FirstPdf,410,0,6,0,97,0,15,0,12,0
